sensor,distance_cm,n_trials,mean_sd_cm,median_sd_cm,std_of_sds_cm,min_sd_cm,max_sd_cm
IR,10,6,0.0189,0.0172,0.0054,0.0127,0.0268
IR,20,6,0.2264,0.0728,0.3971,0.0322,1.0332
IR,30,6,0.3636,0.2406,0.3794,0.07,1.0593
IR,40,6,1.9384,0.4178,2.5502,0.1907,5.8938
IR,50,6,0.8203,0.8657,0.304,0.2727,1.1728
IR,60,6,1.2634,1.2598,0.0542,1.1725,1.3269
VL5,10,6,0.1138,0.1141,0.005,0.107,0.1197
VL5,20,6,0.1101,0.1086,0.0078,0.1002,0.1243
VL5,30,6,0.1698,0.1653,0.0144,0.1585,0.1973
VL5,40,6,0.2211,0.2191,0.0102,0.2093,0.2331
VL5,50,6,0.2531,0.2539,0.0111,0.2392,0.2681
VL5,60,6,0.2999,0.3015,0.0087,0.2889,0.3113
